,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
Ederson,0,0,0,0.1
Kevin De Bruyne,8,16,6.2,13.4
Nicolás Otamendi,4,0,2.7,0.7
Fernandinho,5,3,2.7,2.5
Kyle Walker,0,6,0.7,4.8
Raheem Sterling,18,11,18.3,7.5
David Silva,9,11,7.3,7.7
Leroy Sané,10,15,5.7,8
Sergio Agüero,21,6,17.5,7.4
Fabian Delph,1,2,0.2,1.2
Gabriel Jesus,13,3,14.6,2.2
Vincent Kompany,1,1,1.1,0.7
John Stones,0,0,1.1,0
Bernardo Silva,6,4,4.2,2.2
İlkay Gündoğan,4,1,3.6,2.1
Danilo,3,2,1.1,0.2
Aymeric Laporte,0,0,0,0.1
Oleksandr Zinchenko,0,0,0.1,0.3
Eliaquim Mangala,0,0,0.2,0
Benjamin Mendy,0,1,0.1,0.7
Claudio Bravo,0,0,0,0
Yaya Touré,0,2,0.3,1.3
Brahim Díaz,0,0,0.4,0
Phil Foden,0,1,0,0.3
Lukas Nmecha,0,0,0,0
Squad Total,103,85,86.4,63.3
Opponent Total,25,17,22.8,14.8
