,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
Ederson,0,1,0,0.3
Aymeric Laporte,3,3,2.2,0.9
Bernardo Silva,7,7,6.6,7.4
Raheem Sterling,17,9,13.8,9.2
Sergio Agüero,21,8,19.6,5.3
Kyle Walker,1,1,0.9,1.6
David Silva,6,8,7.2,9.4
Fernandinho,1,3,1.7,2.6
İlkay Gündoğan,6,3,3.5,4
Leroy Sané,10,10,5.6,6.6
John Stones,0,0,0.3,0.2
Riyad Mahrez,7,4,5.7,4.2
Nicolás Otamendi,0,0,1.3,0.2
Oleksandr Zinchenko,0,3,0.2,1.5
Vincent Kompany,1,0,0.2,0.1
Kevin De Bruyne,2,2,2.1,3.4
Benjamin Mendy,0,5,0.2,1.4
Danilo,1,0,0.5,0.3
Gabriel Jesus,7,3,9.4,1.7
Fabian Delph,0,1,0.1,0.3
Phil Foden,1,0,2.5,0.6
