,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
Ederson,0,0,0,0.1
Kevin De Bruyne,13,20,7.6,18.4
Raheem Sterling,20,1,17.1,7
Rodri,3,2,1,1.5
Kyle Walker,1,4,1,2.1
Fernandinho,0,1,1.1,0.5
Bernardo Silva,6,7,6.7,5.4
David Silva,6,10,6.3,5.4
Gabriel Jesus,14,7,18.5,3.8
İlkay Gündoğan,2,1,4.4,2.7
Riyad Mahrez,11,9,7.2,8.8
Nicolás Otamendi,2,0,2.4,0.2
Benjamin Mendy,0,2,0.3,1.3
Sergio Agüero,16,3,14,2.4
Aymeric Laporte,1,0,0.3,0.1
Oleksandr Zinchenko,0,0,0.4,1.6
João Cancelo,0,0,0.5,1.7
John Stones,0,0,0.6,0.1
Phil Foden,5,2,4.3,2
Eric García,0,0,0.5,0.1
Angeliño,0,0,0.2,1.2
Claudio Bravo,0,0,0,0
Thomas Doyle,0,0,0.1,0
Leroy Sané,0,0,0.1,0
