,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
David de Gea,0,0,0,0
Paul Pogba,13,9,14.4,5
Victor Lindelöf,1,1,0.6,1
Luke Shaw,1,4,1,3.5
Ashley Young,2,2,0.4,3.3
Nemanja Matić,1,0,1.5,0.7
Marcus Rashford,10,6,9.4,4.2
Chris Smalling,1,0,0.9,0.4
Romelu Lukaku,12,0,11.3,2.4
Jesse Lingard,4,2,4.8,2.1
Anthony Martial,10,2,6.3,2.6
Ander Herrera,2,3,1.6,1.4
Juan Mata,3,2,1.5,3.3
Phil Jones,0,1,0.4,0.5
Fred,1,1,0.8,0.9
Diogo Dalot,0,2,0.5,2
Alexis Sánchez,1,3,1.4,3.3
Scott McTominay,2,0,1.1,0
Eric Bailly,0,0,0.2,0
Marouane Fellaini,0,1,0.2,0.3
Andreas Pereira,1,1,0.2,0.8
Antonio Valencia,0,0,0.1,0.6
Matteo Darmian,0,0,0.1,0.1
Marcos Rojo,0,0,0.3,0
Mason Greenwood,0,0,0.9,0.1
Tahith Chong,0,0,0.1,0
Angel Gomes,0,0,0.1,0
James Garner,0,0,0,0
