Player,Gls,Ast,xG,xA,Season
Georges-Kévin N'Koudou,0,1,0,0.2,18/19
Luke Amos,0,0,0,0,18/19
Toby Alderweireld,2,2,1.1,1.1,19/20
Serge Aurier,1,5,0.6,2.8,19/20
Harry Kane,18,2,10.5,2.3,19/20
Son Heung-min,11,10,8.9,7,19/20
Moussa Sissoko,2,1,2.4,1.1,19/20
Davinson Sánchez,0,0,0.6,0,19/20
Harry Winks,0,0,0.5,1.1,19/20
Lucas Moura,4,4,5.9,2.4,19/20
Dele Alli,8,4,7.1,2,19/20
Hugo Lloris,0,0,0,0,19/20
Jan Vertonghen,1,1,0.3,1,19/20
Paulo Gazzaniga,0,0,0,0.4,19/20
Ben Davies,0,0,0.2,0.6,19/20
Giovani Lo Celso,0,2,1.2,2.1,19/20
Eric Dier,0,2,1,0.1,19/20
Érik Lamela,2,1,2.7,1.6,19/20
Tanguy Ndombele,2,2,0.4,1.2,19/20
Christian Eriksen,2,2,1.9,2,19/20
Danny Rose,0,0,0.2,0.7,19/20
Steven Bergwijn,3,1,1.2,1,19/20
Japhet Tanganga,0,0,0.1,0,19/20
Ryan Sessegnon,0,0,0.1,0.1,19/20
Kyle Walker-Peters,0,0,0,0.1,19/20
Oliver Skipp,0,0,0,0,19/20
Juan Foyth,0,0,0,0,19/20
Gedson Fernandes,0,0,0,0.2,19/20
Victor Wanyama,0,0,0,0,19/20
Troy Parrott,0,0,0,0,19/20
Georges-Kévin N'Koudou,0,0,0,0,19/20
Pierre Højbjerg,2,4,1.1,1.9,20/21
Hugo Lloris,0,0,0,0,20/21
Son Heung-min,17,10,10.3,8.9,20/21
Harry Kane,23,14,20.5,7.4,20/21
Eric Dier,0,0,0.9,0.1,20/21
Tanguy Ndombele,3,2,1.4,2.4,20/21
Sergio Reguilón,0,3,1.6,1.7,20/21
Toby Alderweireld,1,0,0.8,0.3,20/21
Serge Aurier,2,3,1.4,1.9,20/21
Davinson Sánchez,0,0,1.1,0,20/21
Moussa Sissoko,0,0,0.4,0.5,20/21
Lucas Moura,3,4,2.2,2.3,20/21
Ben Davies,0,1,0.2,0.6,20/21
Matt Doherty,0,2,0.4,0.8,20/21
Steven Bergwijn,1,3,2.5,1.3,20/21
Giovani Lo Celso,1,1,1.2,1.3,20/21
Gareth Bale,11,2,5.3,1.9,20/21
Harry Winks,0,0,0.1,0.3,20/21
Joe Rodon,0,0,0,0,20/21
Dele Alli,0,1,1.3,0.9,20/21
Japhet Tanganga,0,0,0.2,0,20/21
Érik Lamela,1,0,1.4,0.9,20/21
Carlos Vinícius,1,0,1.4,0.1,20/21
Dane Scarlett,0,0,0,0,20/21
