,Perf,Perf,Expe,Expe
Player,Gls,Ast,xG,xA
,,,,
César Azpilicueta,2,6,2.7,5.8
Kepa Arrizabalaga,0,0,0,0
Mason Mount,7,5,7.2,4.6
Willian,9,7,7.1,6.9
Jorginho,4,2,3.4,2.3
Kurt Zouma,0,0,0.8,0.2
Tammy Abraham,15,3,14.1,2.5
Mateo Kovačić,1,3,1.4,1.9
Andreas Christensen,0,0,0.7,1
N'Golo Kanté,3,0,1.6,2.1
Christian Pulisic,9,4,8.2,3.5
Antonio Rüdiger,2,0,0.6,0.3
Reece James,0,2,0.7,3.2
Marcos Alonso,4,2,2,2.2
Fikayo Tomori,1,0,0.6,0.2
Ross Barkley,1,4,2.2,2.8
Emerson Palmieri,0,0,1,1.4
Olivier Giroud,8,0,6.7,1.2
Pedro,1,1,2.8,0.8
Callum Hudson-Odoi,1,5,1.7,2.7
Willy Caballero,0,0,0,0
Ruben Loftus-Cheek,0,1,0.5,0.3
Billy Gilmour,0,0,0,0.1
Michy Batshuayi,1,1,2.2,0.2
Tariq Lamptey,0,0,0,0.1
Faustino Anjorin,0,0,0,0
Armando Broja,0,0,0,0
