Squad,GF,GA,Pts,xG,xGA
,,,,,
Manchester City,95,23,98,82,25.3
Liverpool,89,22,97,74.7,30.5
Chelsea,63,39,72,58.2,35
Tottenham,67,39,71,57.9,45.3
Arsenal,73,51,70,57.5,54
Manchester Utd,65,54,66,59.4,48.1
