Squad,GF,GA,Pts,xG,xGA
,,,,,
Liverpool,85,33,99,71.5,40
Manchester City,102,35,81,93,34.7
Manchester Utd,66,36,66,59.4,37.4
Chelsea,69,54,66,66.6,37.9
Tottenham,61,47,59,46.1,52
Arsenal,56,48,56,49.2,56.6
